Username,Password,Account
Opal-User-100@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-10@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-11@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-12@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-13@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-14@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-15@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-16@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-17@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-18@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-19@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-1@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-20@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-21@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-22@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-23@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-24@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-25@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-26@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-27@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-28@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-29@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-2@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-30@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-31@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-32@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-33@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-34@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-35@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-36@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-37@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-38@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-39@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-3@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-40@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-41@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-42@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-43@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-44@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-45@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-46@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-47@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-48@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-49@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-4@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-50@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-51@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-52@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-53@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-54@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-55@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-56@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-57@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-58@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-59@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-5@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-60@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-61@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-62@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-63@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-64@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-65@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-66@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-67@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-68@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-69@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-6@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-70@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-71@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-72@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-73@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-74@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-75@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-76@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-77@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-78@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-79@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-7@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-80@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-81@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-82@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-83@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-84@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-85@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-86@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-87@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-88@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-89@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-8@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-90@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-91@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-92@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-93@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-94@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-95@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-96@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-97@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-98@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-99@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-9@dev.platform.hmcts.net,OpalTester01,FIXED
