Username,Password,Account
Opal-User-101@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-102@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-103@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-104@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-105@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-106@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-107@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-108@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-109@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-110@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-111@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-112@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-113@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-114@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-115@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-116@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-117@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-118@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-119@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-120@dev.platform.hmcts.net,OpalTester01,Conditional
Opal-User-121@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-122@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-123@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-124@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-125@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-126@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-127@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-128@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-129@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-130@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-131@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-132@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-133@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-134@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-135@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-136@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-137@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-138@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-139@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-140@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-141@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-142@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-143@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-144@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-145@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-146@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-147@dev.platform.hmcts.net,OpalTester01,FIXED
Opal-User-148@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-149@dev.platform.hmcts.net,OpalTester01,FINE
Opal-User-150@dev.platform.hmcts.net,OpalTester01,FIXED
