Username,DraftAccountId1,AccountId1,BusinessUnitId1,forename1,surname1,DraftAccountId2,AccountId2,BusinessUnitId2,forename2,surname2,DraftAccountId3,AccountId3,BusinessUnitId3,forename3,surname3,DraftAccountId4,AccountId4,BusinessUnitId4,forename4,surname4,DraftAccountId5,AccountId5,BusinessUnitId5,forename5,surname5
Opal-User-216@dev.platform.hmcts.net,55100,60000000001791,65,Sarah,Davis,55267,60000000001848,139,Lisa,Brown,55278,60000000001850,128,John,Johnson,55241,60000000001857,65,David,Smith,55285,60000000001866,29,David,Jones
Opal-User-217@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55103,60000000001846,130,Lisa,Jones,55278,60000000001850,128,John,Johnson,55241,60000000001857,65,David,Smith
Opal-User-218@dev.platform.hmcts.net,55100,60000000001791,65,Sarah,Davis,55103,60000000001846,130,Lisa,Jones,55241,60000000001857,65,David,Smith,55285,60000000001866,29,David,Jones,55318,60000000001872,5,Mary,Garcia
Opal-User-219@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55103,60000000001846,130,Lisa,Jones,55267,60000000001848,139,Lisa,Brown,55278,60000000001850,128,John,Johnson,55186,60000000001860,10,Emma,Brown
Opal-User-220@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55267,60000000001848,139,Lisa,Brown,55278,60000000001850,128,John,Johnson,55241,60000000001857,65,David,Smith
Opal-User-221@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55103,60000000001846,130,Lisa,Jones,55267,60000000001848,139,Lisa,Brown,55278,60000000001850,128,John,Johnson
Opal-User-222@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55241,60000000001857,65,David,Smith,55223,60000000001861,106,Sarah,Martinez,55257,60000000001868,119,James,Rodriguez
Opal-User-223@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55103,60000000001846,130,Lisa,Jones,55278,60000000001850,128,John,Johnson,55241,60000000001857,65,David,Smith
Opal-User-224@dev.platform.hmcts.net,55100,60000000001791,65,Sarah,Davis,55267,60000000001848,139,Lisa,Brown,55278,60000000001850,128,John,Johnson,55241,60000000001857,65,David,Smith,55285,60000000001866,29,David,Jones
Opal-User-225@dev.platform.hmcts.net,55099,60000000001790,119,Robert,Miller,55100,60000000001791,65,Sarah,Davis,55103,60000000001846,130,Lisa,Jones,55241,60000000001857,65,David,Smith,55186,60000000001860,10,Emma,Brown
